n,a [Pa],b,ph [hPa],pf [hPa],Geopotential Altitude [m],Geometric Altitude [m],Temperature [K],Density [kg/m^3]
0,0.000000,0.000000,0.000000,-,-,-,-,-
1,2000.000000,0.000000,20.0000,10.0000,31054.95,31207.11,227.70,0.015299
2,4000.000000,0.000000,40.0000,30.0000,23848.75,23938.39,220.50,0.047396
3,6000.000000,0.000000,60.0000,50.0000,20576.18,20642.87,217.23,0.080184
4,8000.000000,0.000000,80.0000,70.0000,18441.83,18495.38,216.65,0.112556
5,9976.135361,0.000391,100.1574,90.0787,16842.50,16887.16,216.65,0.144842
6,11820.539617,0.002920,121.1638,110.6606,15537.46,15575.46,216.65,0.177936
7,13431.393926,0.009194,143.6299,132.3968,14400.15,14432.78,216.65,0.212887
8,14736.356909,0.020319,167.9520,155.7909,13368.27,13396.38,216.65,0.250503
9,15689.207458,0.036975,194.3569,181.1544,12411.70,12435.94,216.65,0.291287
10,16266.610500,0.059488,222.9420,208.6494,11515.57,11536.43,216.65,0.335497
11,16465.005734,0.087895,253.7096,238.3258,10670.87,10688.77,218.79,0.379468
12,16297.619332,0.122004,286.5963,270.1530,9858.42,9873.71,224.07,0.420006
13,15791.598604,0.161442,321.4966,304.0465,9074.42,9087.37,229.17,0.462189
14,14985.269630,0.205703,358.2815,339.8891,8318.89,8329.77,234.08,0.505834
15,13925.517858,0.254189,396.8118,377.5467,7591.68,7600.74,238.80,0.550756
16,12665.291662,0.306235,436.9459,416.8789,6892.36,6899.82,243.35,0.596773
17,11261.228878,0.361145,478.5425,457.7442,6220.25,6226.34,247.72,0.643717
18,9771.406290,0.418202,521.4575,500.0000,5574.58,5579.46,251.92,0.691426
19,8253.212096,0.476688,565.5364,543.4970,4954.56,4958.41,255.95,0.739742
20,6761.341326,0.535887,610.6005,588.0685,4359.59,4362.57,259.81,0.788493
21,5345.914240,0.595084,656.4283,633.5144,3789.43,3791.69,263.52,0.837482
22,4050.717678,0.653565,702.7315,679.5799,3244.36,3246.01,267.06,0.886460
23,2911.569385,0.710594,749.1255,725.9285,2725.33,2726.50,270.44,0.935106
24,1954.805296,0.765405,795.0949,772.1102,2234.22,2235.00,273.63,0.982992
25,1195.889791,0.817167,839.9533,817.5241,1773.95,1774.44,276.62,1.029552
26,638.148911,0.864956,882.7980,861.3757,1348.75,1349.04,279.38,1.074046
27,271.626545,0.907716,922.4593,902.6287,964.47,964.62,281.88,1.115511
28,72.063577,0.944213,957.4447,939.9520,628.86,628.92,284.06,1.152716
29,0.000000,0.972985,985.8772,971.6610,352.11,352.13,285.86,1.184104
30,0.000000,0.992281,1005.4292,995.6532,147.52,147.53,287.19,1.207723
31,0.000000,1.000000,1013.2500,1009.3396,32.60,32.60,287.94,1.221149
