n,a [Pa],b,ph [hPa],pf [hPa],Geopotential Altitude [m],Geometric Altitude [m],Temperature [K],Density [kg/m^3]
-,0.000000,0.000000,0.000000,-,-,-,-,-
1,988.835876,0.000000,9.8884,4.9442,35855.31,36058.30,239.44,0.007193
2,1977.676270,0.000000,19.7768,14.8326,28442.29,28569.87,225.09,0.022955
3,2966.516602,0.000000,29.6652,24.7210,25101.53,25200.85,221.75,0.038836
4,3955.356934,0.000000,39.5536,34.6094,22928.17,23011.00,219.58,0.054908
5,4944.197266,0.000000,49.4420,44.4978,21318.77,21390.36,217.97,0.071117
6,5933.037598,0.000000,59.3304,54.3862,20042.16,20105.43,216.69,0.087433
7,6921.870117,0.000000,69.2188,64.2746,18982.98,19039.73,216.65,0.103350
8,7909.441406,0.000013,79.1072,74.1630,18075.46,18126.91,216.65,0.119250
9,8890.707031,0.000087,88.9956,84.0514,17281.70,17328.72,216.65,0.135150
10,9860.528320,0.000275,98.8840,93.9398,16576.33,16619.59,216.65,0.151050
11,10807.783203,0.000685,108.7724,103.8282,15941.62,15981.62,216.65,0.166950
12,11722.749023,0.001415,118.6608,113.7166,15364.70,15401.85,216.65,0.182850
13,12595.006836,0.002565,128.5492,123.6050,14835.91,14870.55,216.65,0.198750
14,13419.463867,0.004187,138.4376,133.4934,14347.84,14380.23,216.65,0.214650
15,14192.009766,0.006322,148.3260,143.3818,13894.66,13925.04,216.65,0.230550
16,14922.685547,0.009035,158.3816,153.3538,13468.26,13496.80,216.65,0.246585
17,15638.053711,0.012508,169.0545,163.7180,13053.52,13080.33,216.65,0.263250
18,16329.560547,0.016860,180.3786,174.7166,12641.18,12666.32,216.65,0.280935
19,16990.623047,0.022189,192.3889,186.3837,12231.23,12254.76,216.65,0.299695
20,17613.281250,0.028610,205.1222,198.7556,11823.65,11845.64,216.65,0.319588
21,18191.029297,0.036227,218.6172,211.8697,11418.44,11438.95,216.65,0.340675
22,18716.968750,0.045146,232.9140,225.7656,11015.57,11034.66,216.65,0.363019
23,19184.544922,0.055474,248.0547,240.4844,10613.07,10630.79,219.17,0.382249
24,19587.513672,0.067316,264.0833,256.0690,10207.82,10224.21,221.80,0.402186
25,19919.796875,0.080777,281.0456,272.5644,9800.09,9815.19,224.45,0.423040
26,20175.394531,0.095964,298.9895,290.0175,9389.89,9403.75,227.12,0.444844
27,20348.916016,0.112979,317.9651,308.4773,8977.23,8989.90,229.80,0.467635
28,20434.158203,0.131935,338.0245,327.9948,8562.14,8573.66,232.50,0.491453
29,20426.218750,0.152934,359.2221,348.6233,8144.61,8155.04,235.21,0.516334
30,20319.011719,0.176091,381.6144,370.4182,7724.68,7734.06,237.94,0.542320
31,20107.031250,0.201520,405.2606,393.4375,7302.35,7310.73,240.68,0.569453
32,19785.357422,0.229315,430.2069,417.7337,6877.76,6885.19,243.44,0.597764
33,19348.775391,0.259554,456.4813,443.3441,6451.33,6457.87,246.22,0.627270
34,18798.822266,0.291993,483.8505,470.1659,6025.61,6031.31,248.98,0.657826
35,18141.296875,0.326329,512.0662,497.9584,5604.74,5609.68,251.72,0.689139
36,17385.595703,0.362203,540.8577,526.4620,5192.42,5196.66,254.40,0.720911
37,16544.585938,0.399205,569.9401,555.3989,4791.93,4795.53,257.00,0.752832
38,15633.566406,0.436906,599.0310,584.4855,4406.04,4409.09,259.51,0.784601
39,14665.645508,0.475016,627.9668,613.4989,4036.32,4038.88,261.91,0.815991
40,13653.219727,0.513280,656.6129,642.2899,3683.17,3685.30,264.21,0.846863
41,12608.383789,0.551458,684.8491,670.7310,3346.69,3348.45,266.40,0.877102
42,11543.166992,0.589317,712.5573,698.7032,3026.84,3028.28,268.48,0.906605
43,10471.310547,0.626559,739.5739,726.0656,2723.84,2725.01,270.45,0.935249
44,9405.222656,0.662934,765.7697,752.6718,2437.96,2438.89,272.30,0.962904
45,8356.252930,0.698224,791.0376,778.4036,2169.15,2169.89,274.05,0.989474
46,7335.164551,0.732224,815.2774,803.1575,1917.26,1917.84,275.69,1.014877
47,6353.920898,0.764679,838.3507,826.8141,1682.35,1682.80,277.21,1.039015
48,5422.802734,0.795385,860.1516,849.2512,1464.53,1464.87,278.63,1.061788
49,4550.215820,0.824185,880.6080,870.3798,1263.63,1263.88,279.94,1.083128
50,3743.464355,0.850950,899.6602,890.1341,1079.33,1079.52,281.13,1.102991
51,3010.146973,0.875518,917.2205,908.4403,911.48,911.61,282.23,1.121323
52,2356.202637,0.897767,933.2247,925.2226,759.99,760.08,283.21,1.138067
53,1784.854614,0.917651,947.6584,940.4415,624.53,624.59,284.09,1.153202
54,1297.656128,0.935157,960.5245,954.0914,504.53,504.57,284.87,1.166736
55,895.193542,0.950274,971.8169,966.1707,399.50,399.52,285.55,1.178683
56,576.314148,0.963007,981.5301,976.6735,309.03,309.04,286.14,1.189047
57,336.772369,0.973466,989.7322,985.6311,232.49,232.50,286.64,1.197870
58,162.043427,0.982238,996.8732,993.3027,167.39,167.39,287.06,1.205414
59,54.208336,0.989153,1002.8013,999.8373,112.26,112.26,287.42,1.211831
60,6.575628,0.994204,1007.4431,1005.1222,67.88,67.88,287.71,1.217015
61,0.003160,0.997630,1010.8487,1009.1459,34.22,34.22,287.93,1.220959
62,0.000000,1.000000,1013.2500,1012.0494,10.00,10.00,288.09,1.223803
